"Verb"|"Root"|"VerbOld"|"RootOld"|"Form"|"Frequency"|"Translation"|"Nederlands"|"Turks"|"NL"|"TR"
"زَكَّىٰ"|"ز ك و"|"زَكَّىٰ"|"ز ك و"|"II"|"12"|"to purify"|"zuiveren"|"arındırmak"|"NL"|"TR"
"تَزَكَّىٰ"|"ز ك و"|"تَزَكَّىٰ"|"ز ك و"|"V"|"8"|"to purify"|"zuiveren"|"saflaştırmak"|"NL"|"TR"
"زُلْزِلُ"|"ز ل ز ل"|"زُلْزِلُ"|"ز ل ز ل"|"I"|"3"|"to shake"|"schudden"|"sallamak"|"NL"|"TR"
"أُزْلِفَتْ"|"ز ل ف"|"أُزْلِفَتْ"|"ز ل ف"|"IV"|"4"|"to bring near"|"in de buurt brengen"|"yakın getirmek"|"NL"|"TR"
"يُزْلِقُ"|"ز ل ق"|"يُزْلِقُ"|"ز ل ق"|"IV"|"1"|"to make slip"|"slip maken"|"kayma yapmak"|"NL"|"TR"
"زَلَلْ"|"ز ل ل"|"زَلَلْ"|"ز ل ل"|"I"|"2"|"to slip"|"glijden"|"kaymak"|"NL"|"TR"
"أَزَلَّ"|"ز ل ل"|"أَزَلَّ"|"ز ل ل"|"IV"|"1"|"to make slip"|"een slip maken"|"kayma yapmak"|"NL"|"TR"
"ٱسْتَزَلَّ"|"ز ل ل"|"ٱسْتَزَلَّ"|"ز ل ل"|"X"|"1"|"to make slip"|"een slip maken"|"kayma yapmak"|"NL"|"TR"
"يَزْنُ"|"ز ن ي"|"يَزْنُ"|"ز ن ي"|"I"|"2"|"to commit adultery"|"overspel plegen"|"zina yapmak"|"NL"|"TR"
"زَهَقَ"|"ز ه ق"|"زَهَقَ"|"ز ه ق"|"I"|"3"|"to depart, to perish"|"vertrekken, creperen"|"ayrılmak, can vermek"|"NL"|"TR"
"زُوِّجَتْ"|"ز و ج"|"زُوِّجَتْ"|"ز و ج"|"II"|"5"|"to marry, to be paired"|"trouwen, worden gekoppeld"|"evlenmek, eşleştirmek"|"NL"|"TR"
"تَزَوَّدُ"|"ز و د"|"تَزَوَّدُ"|"ز و د"|"V"|"1"|"to take provision"|""|""|"NL"|"TR"
"زُرْ"|"ز و ر"|"زُرْ"|"ز و ر"|"I"|"1"|"to visit"|"bezoeken"|"ziyaret etmek"|"NL"|"TR"
"تَّزَٰوَرُ"|"ز و ر"|"تَّزَٰوَرُ"|"ز و ر"|"VI"|"1"|"to incline away"|"wegneigen"|""|"NL"|"TR"
"زَالَ"|"ز و ل"|"زَالَ"|"ز و ل"|"I"|"3"|"to cease"|"ophouden"|"durdurmak"|"NL"|"TR"
"زَادَ"|"ز ي د"|"زَادَ"|"ز ي د"|"I"|"49"|"to increase"|"verhogen"|"artırmak"|"NL"|"TR"
"ٱزْدَادُ"|"ز ي د"|"ٱزْدَادُ"|"ز ي د"|"VIII"|"8"|"to increase"|"verhogen"|"artırmak"|"NL"|"TR"
"زَاغَ"|"ز ي غ"|"زَاغَ"|"ز ي غ"|"I"|"6"|"to deviate, to turn away, to swerve"|"afwijken, wegdraaien, uitwijken"|"sapmak, geri çevirmek, saptırmak"|"NL"|"TR"
"أَزَاغَ"|"ز ي غ"|"أَزَاغَ"|"ز ي غ"|"IV"|"2"|"to deviate"|"afwijken"|"sapmak"|"NL"|"TR"
"زَالَت"|"ز ي ل"|"زَالَت"|"ز ي ل"|"I"|"8"|"to cease"|"ophouden"|"durdurmak"|"NL"|"TR"
"زَيَّلْ"|"ز ي ل"|"زَيَّلْ"|"ز ي ل"|"II"|"1"|"to seperate"|"scheiden"|"ayırmak"|"NL"|"TR"
"تَزَيَّلُ"|"ز ي ل"|"تَزَيَّلُ"|"ز ي ل"|"V"|"1"|"to be apart"|"apart zijn"|"ayrı olmak üzere"|"NL"|"TR"
"زَيَّنَ"|"ز ي ن"|"زَيَّنَ"|"ز ي ن"|"II"|"26"|"to make fair-seeming"|""|"görünürde adil yapmak"|"NL"|"TR"
"ٱزَّيَّنَتْ"|"ز ي ن"|"ٱزَّيَّنَتْ"|"ز ي ن"|"V"|"1"|"to beautify"|"verfraaien"|"güzelleştirmek"|"NL"|"TR"
"سَأَلَ"|"س ا ل"|"سَأَلَ"|"س ا ل"|"I"|"106"|"to ask"|"vragen"|"sormak"|"NL"|"TR"
"يَتَسَآءَلُ"|"س ا ل"|"يَتَسَآءَلُ"|"س ا ل"|"VI"|"9"|"to question, to ask, to inquire"|"vragen, vragen, informeren"|"sorgulamak, sormak, bilgi almak"|"NL"|"TR"
"يَسْـَٔمُ"|"س ا م"|"يَسْـَٔمُ"|"س ا م"|"I"|"3"|"to tire"|"moe worden"|"yorulmak"|"NL"|"TR"
"يَسُبُّ"|"س ب ب"|"يَسُبُّ"|"س ب ب"|"I"|"2"|"to insult"|"beledigen"|"hakaret etmek"|"NL"|"TR"
"يَسْبِتُ"|"س ب ت"|"يَسْبِتُ"|"س ب ت"|"I"|"1"|"to have Sabbath"|"Sabbath hebben"|"Sabbath"|"NL"|"TR"
"يَسْبَحُ"|"س ب ح"|"يَسْبَحُ"|"س ب ح"|"I"|"2"|"to swim, to float"|"zwemmen, drijven"|"yüzmek, su üstünde durmak "|"NL"|"TR"
"سَبَّحَ"|"س ب ح"|"سَبَّحَ"|"س ب ح"|"II"|"42"|"to glorify, to praise"|"verheerlijken, prijzen"|"yüceltmek, övmek"|"NL"|"TR"
"أَسْبَغَ"|"س ب غ"|"أَسْبَغَ"|"س ب غ"|"IV"|"1"|"to bestow"|"schenken"|"ihsan etmek"|"NL"|"TR"
"سَبَقَ"|"س ب ق"|"سَبَقَ"|"س ب ق"|"I"|"20"|"to precede"|"voorafgaan"|"önce gelmek"|"NL"|"TR"
"سَابِقُ"|"س ب ق"|"سَابِقُ"|"س ب ق"|"III"|"1"|"to race"|"racen"|"yarışmak"|"NL"|"TR"
"ٱسْتَبَقَ"|"س ب ق"|"ٱسْتَبَقَ"|"س ب ق"|"VIII"|"5"|"to race"|"racen"|"yarışmak"|"NL"|"TR"
"تَسْتَتِرُ"|"س ت ر"|"تَسْتَتِرُ"|"س ت ر"|"VIII"|"1"|"to cover"|"bedekken"|"kapsamak"|"NL"|"TR"
"سَجَدَ"|"س ج د"|"سَجَدَ"|"س ج د"|"I"|"35"|"to prostrate"|"knielen"|"secde etmek"|"NL"|"TR"
"يُسْجَرُ"|"س ج ر"|"يُسْجَرُ"|"س ج ر"|"I"|"1"|"to burn"|"branden"|"yanmak"|"NL"|"TR"
"سُجِّرَتْ"|"س ج ر"|"سُجِّرَتْ"|"س ج ر"|"II"|"1"|"to overflow"|"overlopen"|"taşmak"|"NL"|"TR"
"يُسْجَنَ"|"س ج ن"|"يُسْجَنَ"|"س ج ن"|"I"|"3"|"to imprison"|"gevangen zetten"|"hapsetmek"|"NL"|"TR"
"سَجَىٰ"|"س ج و"|"سَجَىٰ"|"س ج و"|"I"|"1"|"to cover with darkness"|"dekken met de duisternis"|"karanlık ile kaplamak"|"NL"|"TR"
"يُسْحَبُ"|"س ح ب"|"يُسْحَبُ"|"س ح ب"|"I"|"2"|"to drag"|"slepen"|"sürümek"|"NL"|"TR"
"يُسْحِتَ"|"س ح ت"|"يُسْحِتَ"|"س ح ت"|"IV"|"1"|"to destroy"|"vernietigen"|"yok etmek"|"NL"|"TR"
"سَحَرُ"|"س ح ر"|"سَحَرُ"|"س ح ر"|"I"|"3"|"to bewitch, to delude"|"betoveren, misleiden"|"büyülemek, aldatmak"|"NL"|"TR"
"سَخِرَ"|"س خ ر"|"سَخِرَ"|"س خ ر"|"I"|"11"|"to ridicule, to mock"|"belachelijk maken, bespotten"|"alay etmek, alay etmek"|"NL"|"TR"
"سَخَّرَ"|"س خ ر"|"سَخَّرَ"|"س خ ر"|"II"|"22"|"to subject, to impose"|"onderwerpen, opleggen"|"maruz bırakmak, empoze etmek"|"NL"|"TR"
"يَسْتَسْخِرُ"|"س خ ر"|"يَسْتَسْخِرُ"|"س خ ر"|"X"|"1"|"to mock"|"bespotten"|"alay etmek"|"NL"|"TR"
"سَخِطَ"|"س خ ط"|"سَخِطَ"|"س خ ط"|"I"|"2"|"to anger, to enrage"|"boos maken, woedend maken"|"öfkelendirmek, kızdırmak"|"NL"|"TR"
"أَسْخَطَ"|"س خ ط"|"أَسْخَطَ"|"س خ ط"|"IV"|"1"|"to anger"|"boos maken"|"öfkelendirmek"|"NL"|"TR"
"تَسْرَحُ"|"س ر ح"|"تَسْرَحُ"|"س ر ح"|"I"|"1"|"to take out"|"nemen"|"almak"|"NL"|"TR"
"سَرِّحُ"|"س ر ح"|"سَرِّحُ"|"س ر ح"|"II"|"3"|"to release"|"loslaten"|"serbest bırakmak"|"NL"|"TR"
"تَسُرُّ"|"س ر ر"|"تَسُرُّ"|"س ر ر"|"I"|"1"|"to please"|"behagen"|"hoşnut etmek"|"NL"|"TR"
"أَسَرَّ"|"س ر ر"|"أَسَرَّ"|"س ر ر"|"IV"|"18"|"to conceal"|"verbergen"|"gizlemek"|"NL"|"TR"
"يُسَٰرِعُ"|"س ر ع"|"يُسَٰرِعُ"|"س ر ع"|"III"|"9"|"to hasten"|"verhaasten"|"hızlandırmak"|"NL"|"TR"
"أَسْرَفَ"|"س ر ف"|"أَسْرَفَ"|"س ر ف"|"IV"|"6"|"to be extravagant, to exceed, to transgress"|"extravagant zijn, overschrijden, overtreden"|"abartılı olmak, aşmak, çiğnemek"|"NL"|"TR"
"سَرَقَ"|"س ر ق"|"سَرَقَ"|"س ر ق"|"I"|"4"|"to steal"|"stelen"|"çalmak"|"NL"|"TR"
"ٱسْتَرَقَ"|"س ر ق"|"ٱسْتَرَقَ"|"س ر ق"|"VIII"|"1"|"to steal"|"stelen"|"çalmak"|"NL"|"TR"
"يَسْرِ"|"س ر ي"|"يَسْرِ"|"س ر ي"|"I"|"1"|"to pass, to set out"|""|""|"NL"|"TR"
"أَسْرَىٰ"|"س ر ي"|"أَسْرَىٰ"|"س ر ي"|"IV"|"6"|"to travel, to take"|"reizen, nemen"|"seyahat etmek, almak"|"NL"|"TR"
"سُطِحَتْ"|"س ط ح"|"سُطِحَتْ"|"س ط ح"|"I"|"1"|"to spread out"|"spreiden"|"yaymak"|"NL"|"TR"
"يَسْطُرُ"|"س ط ر"|"يَسْطُرُ"|"س ط ر"|"I"|"1"|"to write"|"schrijven"|"yazmak"|"NL"|"TR"
"يَسْطُ"|"س ط و"|"يَسْطُ"|"س ط و"|"I"|"1"|"to attack"|"aanvallen"|"saldırmak"|"NL"|"TR"
"سُعِدُ"|"س ع د"|"سُعِدُ"|"س ع د"|"I"|"1"|"to be glad"|"blij zijn"|"memnun olmak"|"NL"|"TR"
"سُعِّرَتْ"|"س ع ر"|"سُعِّرَتْ"|"س ع ر"|"II"|"1"|"to set ablaze"|"in brand gestoken"|"kundaklamak"|"NL"|"TR"
"سَعَىٰ"|"س ع ي"|"سَعَىٰ"|"س ع ي"|"I"|"20"|"to strive, to run"|"streven, draaien"|"gayret etmek, koşmak"|"NL"|"TR"
"أَسْفَرَ"|"س ف ر"|"أَسْفَرَ"|"س ف ر"|"IV"|"1"|"to brighten"|"fleuren"|"aydınlatmak"|"NL"|"TR"
"نَسْفَعًۢ"|"س ف ع"|"نَسْفَعًۢ"|"س ف ع"|"I"|"1"|"to drag"|"slepen"|"sürümek"|"NL"|"TR"
"يَسْفِكُ"|"س ف ك"|"يَسْفِكُ"|"س ف ك"|"I"|"2"|"to shed"|""|""|"NL"|"TR"
"سَفِهَ"|"س ف ه"|"سَفِهَ"|"س ف ه"|"I"|"1"|"to fool"|"gek houden"|"enayi yerine koymak"|"NL"|"TR"
"سُقِطَ"|"س ق ط"|"سُقِطَ"|"س ق ط"|"I"|"3"|"to fall, to regret"|"vallen, betreuren"|"düşmek, pişman olmak"|"NL"|"TR"
"تُسَٰقِطْ"|"س ق ط"|"تُسَٰقِطْ"|"س ق ط"|"III"|"1"|"to drop"|"laten vallen/vallen"|"düşürmek/düşmek"|"NL"|"TR"
"تُسْقِطَ"|"س ق ط"|"تُسْقِطَ"|"س ق ط"|"IV"|"3"|"to cause toll, to cause to fall"|"tol veroorzaken, doen dalen"|"toll'a neden olmak, düşmesine neden olmak"|"NL"|"TR"
"سَقَىٰ"|"س ق ي"|"سَقَىٰ"|"س ق ي"|"I"|"12"|"to water, to give drink"|"water geven, te drinken geven"|"su vermek, su vermek"|"NL"|"TR"
"أَسْقَيْ"|"س ق ي"|"أَسْقَيْ"|"س ق ي"|"IV"|"8"|"to give drink"|"te drinken geven"|"su vermek"|"NL"|"TR"
"ٱسْتَسْقَىٰ"|"س ق ي"|"ٱسْتَسْقَىٰ"|"س ق ي"|"X"|"2"|"to ask for water"|"vragen om water"|"su istemek"|"NL"|"TR"
"سَكَتَ"|"س ك ت"|"سَكَتَ"|"س ك ت"|"I"|"1"|"to calm"|"kalmeren"|"sakinleştirmek"|"NL"|"TR"
"سُكِّرَتْ"|"س ك ر"|"سُكِّرَتْ"|"س ك ر"|"II"|"1"|"to dazzle"|"verblinden"|"göz kamaştırmak"|"NL"|"TR"
"سَكَنَ"|"س ك ن"|"سَكَنَ"|"س ك ن"|"I"|"15"|"to dwell, to live, to rest"|"wonen, leven, rusten"|"oturmak, yaşamak, dinlenmek"|"NL"|"TR"
"أَسْكَن"|"س ك ن"|"أَسْكَن"|"س ك ن"|"IV"|"5"|"to make dwell, to settle, to lodge"|"laten wonen, zich vestigen, logeren"|"oturtmak, yerleşmek, misafir olmak"|"NL"|"TR"
"يَسْلُبْ"|"س ل ب"|"يَسْلُبْ"|"س ل ب"|"I"|"1"|"to snatch away"|"wegrukken"|""|"NL"|"TR"
"نَسْلَخُ"|"س ل خ"|"نَسْلَخُ"|"س ل خ"|"I"|"1"|"to withdraw"|"zich terugtrekken"|"çekilmek"|"NL"|"TR"
"ٱنسَلَخَ"|"س ل خ"|"ٱنسَلَخَ"|"س ل خ"|"VII"|"2"|"to pass, to detach"|"doorgeven, onthechten"|"geçmek, ayırmak"|"NL"|"TR"
"سَلَّطَ"|"س ل ط"|"سَلَّطَ"|"س ل ط"|"II"|"2"|"to give power"|"de macht geven"|"güç vermek"|"NL"|"TR"
"سَلَفَ"|"س ل ف"|"سَلَفَ"|"س ل ف"|"I"|"5"|"to pass (before)"|""|""|"NL"|"TR"
"أَسْلَفَتْ"|"س ل ف"|"أَسْلَفَتْ"|"س ل ف"|"IV"|"2"|"to do before, to send before"|"doen vóór, sturen vóór"|"önce yapmak, önce göndermek"|"NL"|"TR"
"سَلَقُ"|"س ل ق"|"سَلَقُ"|"س ل ق"|"I"|"1"|"to smite"|"slaan"|"vurmak"|"NL"|"TR"
"سَلَكَ"|"س ل ك"|"سَلَكَ"|"س ل ك"|"I"|"12"|"to insert, to make enter"|"invoegen, "|"eklemek, "|"NL"|"TR"
"يَتَسَلَّلُ"|"س ل ل"|"يَتَسَلَّلُ"|"س ل ل"|"V"|"1"|"to slip away"|"wegglippen"|"savuşmak"|"NL"|"TR"
"سَلَّمَ"|"س ل م"|"سَلَّمَ"|"س ل م"|"II"|"6"|"to submit, to greet, to pay"|"indienen, begroeten, betalen"|"göndermek, selamlamak, ödemek"|"NL"|"TR"
"أَسْلَمَ"|"س ل م"|"أَسْلَمَ"|"س ل م"|"IV"|"22"|"to submit"|"indienen"|"göndermek"|"NL"|"TR"
"سَمِعَ"|"س م ع"|"سَمِعَ"|"س م ع"|"I"|"78"|"to hear, to listen"|"horen, luisteren"|"duymak, dinlemek"|"NL"|"TR"
"أَسْمَعَ"|"س م ع"|"أَسْمَعَ"|"س م ع"|"IV"|"13"|"to make hear"|"laten horen"|"duydurmak"|"NL"|"TR"
"يَسَّمَّعُ"|"س م ع"|"يَسَّمَّعُ"|"س م ع"|"V"|"1"|"to listen"|"luisteren"|"dinlemek"|"NL"|"TR"
"ٱسْتَمَعَ"|"س م ع"|"ٱسْتَمَعَ"|"س م ع"|"VIII"|"16"|"to listen"|"luisteren"|"dinlemek"|"NL"|"TR"
"يُسْمِنُ"|"س م ن"|"يُسْمِنُ"|"س م ن"|"IV"|"1"|"to nourish"|"opvoeden"|"beslemek"|"NL"|"TR"
"سَمَّىٰ"|"س م و"|"سَمَّىٰ"|"س م و"|"II"|"8"|"to name"|"naam geven"|"ad koymak"|"NL"|"TR"
"يَتَسَنَّهْ"|"س ن ه"|"يَتَسَنَّهْ"|"س ن ه"|"V"|"1"|"to change with time"|"met dtijd veranderen"|"zamanla değişimek"|"NL"|"TR"
"سَاهَمَ"|"س ه م"|"سَاهَمَ"|"س ه م"|"III"|"1"|"to draw"|"tekenen"|"çizmek"|"NL"|"TR"
"سَآءَ"|"س و ا"|"سَآءَ"|"س و ا"|"I"|"30"|"to be evil"|"kwaadaardig zijn"|"kötü olmak"|"NL"|"TR"
"أَسَآءَ"|"س و ا"|"أَسَآءَ"|"س و ا"|"IV"|"5"|"to do evil"|"kwaadaardig doen"|"kötülük yapmak"|"NL"|"TR"
"ٱسْوَدَّتْ"|"س و د"|"ٱسْوَدَّتْ"|"س و د"|"IX"|"2"|"to become black"|"zwart worden"|"siyah olmak"|"NL"|"TR"
"تَسَوَّرُ"|"س و ر"|"تَسَوَّرُ"|"س و ر"|"V"|"1"|"to climb over"|"naar boven klimmen"|"üzerine tırmanmak"|"NL"|"TR"
"يُسِيغُ"|"س و غ"|"يُسِيغُ"|"س و غ"|"IV"|"1"|"to swallow"|"slikken"|"yutmak"|"NL"|"TR"
"سِيقَ"|"س و ق"|"سِيقَ"|"س و ق"|"I"|"7"|"to drive"|"rijden"|"sürmek"|"NL"|"TR"
"سَوَّلَ"|"س و ل"|"سَوَّلَ"|"س و ل"|"II"|"4"|"to entice, to suggest"|"verleiden, suggereren"|"ikna etmek, önermek"|"NL"|"TR"
"يَسُومُ"|"س و م"|"يَسُومُ"|"س و م"|"I"|"4"|"to afflict"|"teisteren"|"eziyet etmek"|"NL"|"TR"
"تُسِيمُ"|"س و م"|"تُسِيمُ"|"س و م"|"IV"|"1"|"to pasture"|"grazen"|"otlamak"|"NL"|"TR"
"تُسَوَّىٰ"|"س و ي"|"تُسَوَّىٰ"|"س و ي"|"I"|"1"|"to level"|"naar niveau brengen"|"düzeyine getirmek"|"NL"|"TR"
"سَوَّىٰ"|"س و ي"|"سَوَّىٰ"|"س و ي"|"II"|"13"|"to fashion, to proportion"|"vormen, evenredig maken"|"biçimlendirmek, oranlamak"|"NL"|"TR"
"سَاوَىٰ"|"س و ي"|"سَاوَىٰ"|"س و ي"|"III"|"1"|"to level"|"nivelleren"|"eşitlemek"|"NL"|"TR"
"ٱسْتَوَىٰٓ"|"س و ي"|"ٱسْتَوَىٰٓ"|"س و ي"|"VIII"|"35"|"to be equal, to be alike, to establish"|"gelijk zijn, gelijk zijn, vaststellen"|"eşit olmak, Hem olmak, kurmak"|"NL"|"TR"
"سِيحُ"|"س ي ح"|"سِيحُ"|"س ي ح"|"I"|"1"|"to move about"|"bewegen"|"hareket etmek"|"NL"|"TR"
"سَارَ"|"س ي ر"|"سَارَ"|"س ي ر"|"I"|"16"|"to travel"|"reizen"|"seyahat etmek"|"NL"|"TR"
"سُيِّرَتْ"|"س ي ر"|"سُيِّرَتْ"|"س ي ر"|"II"|"5"|"to move"|"bewegen"|"hareket etmek"|"NL"|"TR"
"سَالَتْ"|"س ي ل"|"سَالَتْ"|"س ي ل"|"I"|"1"|"to flow"|"stromen"|"akmak"|"NL"|"TR"
"أَسَلْ"|"س ي ل"|"أَسَلْ"|"س ي ل"|"IV"|"1"|"to cause flow"|"stroming veroorzaken"|"akışına neden olmak"|"NL"|"TR"
"شُبِّهَ"|"ش ب ه"|"شُبِّهَ"|"ش ب ه"|"II"|"1"|"to make appear"|"laten verschijnen"|"görünmek"|"NL"|"TR"
"تَشَٰبَهَ"|"ش ب ه"|"تَشَٰبَهَ"|"ش ب ه"|"VI"|"4"|"to look alike, to seem alike"|"naar elkaar lijken, zowel te lijken"|"benzemek, hem görünmek"|"NL"|"TR"
"شَجَرَ"|"ش ج ر"|"شَجَرَ"|"ش ج ر"|"I"|"1"|"to arise"|"ontstaan"|"ortaya çıkmak"|"NL"|"TR"
"تَشْخَصُ"|"ش خ ص"|"تَشْخَصُ"|"ش خ ص"|"I"|"1"|"to stare"|"te staren"|"bakmak"|"NL"|"TR"
"شَدَدْ"|"ش د د"|"شَدَدْ"|"ش د د"|"I"|"6"|"to strengthen"|"versterken"|"güçlendirmek"|"NL"|"TR"
"ٱشْتَدَّتْ"|"ش د د"|"ٱشْتَدَّتْ"|"ش د د"|"VIII"|"1"|"to blow furiously"|"woedend blazen"|"öfkeyle üflemek"|"NL"|"TR"
"شَرِبَ"|"ش ر ب"|"شَرِبَ"|"ش ر ب"|"I"|"15"|"to drink"|"drinken"|"içmek"|"NL"|"TR"
"أُشْرِبُ"|"ش ر ب"|"أُشْرِبُ"|"ش ر ب"|"IV"|"1"|"to make drink"|""|""|"NL"|"TR"
"شَرَحَ"|"ش ر ح"|"شَرَحَ"|"ش ر ح"|"I"|"5"|"to expand, to open"|"uitbreiden, openen"|"genişletmek, açmak"|"NL"|"TR"
"شَرِّدْ"|"ش ر د"|"شَرِّدْ"|"ش ر د"|"II"|"1"|"to disperse"|"dispergeren"|"dağıtmak"|"NL"|"TR"
"شَرَعَ"|"ش ر ع"|"شَرَعَ"|"ش ر ع"|"I"|"2"|"to ordain"|"bepalen"|"buyurmak"|"NL"|"TR"
"أَشْرَقَتِ"|"ش ر ق"|"أَشْرَقَتِ"|"ش ر ق"|"IV"|"1"|"to shine"|"schitteren"|"parlamak"|"NL"|"TR"
"شَارِكْ"|"ش ر ك"|"شَارِكْ"|"ش ر ك"|"III"|"1"|"to be a partner"|"een ​​partner zijn"|"ortak olmak"|"NL"|"TR"
"أَشْرَكَ"|"ش ر ك"|"أَشْرَكَ"|"ش ر ك"|"IV"|"71"|"to associate partners"|"partners ermee associëren"|"ortaklar ilişkilendirmek"|"NL"|"TR"
"شَرَ"|"ش ر ي"|"شَرَ"|"ش ر ي"|"I"|"4"|"to sell"|"verkopen"|"satmak"|"NL"|"TR"
"ٱشْتَرَىٰ"|"ش ر ي"|"ٱشْتَرَىٰ"|"ش ر ي"|"VIII"|"21"|"to buy, to purchase, to exchange"|"kopen, kopen, ruilen"|"satın almak, satın almak, değiş tokuş yapmak"|"NL"|"TR"
"تُشْطِطْ"|"ش ط ط"|"تُشْطِطْ"|"ش ط ط"|"IV"|"1"|"to be unjust"|"onrechtvaardig zijn"|"haksız olmak"|"NL"|"TR"
"يَشْعُرُ"|"ش ع ر"|"يَشْعُرُ"|"ش ع ر"|"I"|"25"|"to perceive, to realize"|"waarnemen, realiseren"|"algılamak, farkına varmak"|"NL"|"TR"
"يُشْعِرُ"|"ش ع ر"|"يُشْعِرُ"|"ش ع ر"|"IV"|"2"|"to perceive, to be aware"|"waarnemen, mee bewust zijn"|"algılamak, farkında olmak"|"NL"|"TR"
"ٱشْتَعَلَ"|"ش ع ل"|"ٱشْتَعَلَ"|"ش ع ل"|"VIII"|"1"|"to flare"|"oplaaien"|"alevlenmek"|"NL"|"TR"
"شَغَفَ"|"ش غ ف"|"شَغَفَ"|"ش غ ف"|"I"|"1"|"to impassion"|"verontrusten"|"heyecanlandırmak"|"NL"|"TR"
"شَغَلَتْ"|"ش غ ل"|"شَغَلَتْ"|"ش غ ل"|"I"|"1"|"to keep busy"|"bezig houden"|"meşgul tutmak"|"NL"|"TR"
"يَشْفَعُ"|"ش ف ع"|"يَشْفَعُ"|"ش ف ع"|"I"|"5"|"to intercede"|"bemiddelen"|"şefaat etmek"|"NL"|"TR"
"أَشْفَقْ"|"ش ف ق"|"أَشْفَقْ"|"ش ف ق"|"IV"|"2"|"to fear, to be afraid"|"vrezen, bang zijn"|"korkmak, korkmak"|"NL"|"TR"
"يَشْفِ"|"ش ف ي"|"يَشْفِ"|"ش ف ي"|"I"|"2"|"to heal, to cure"|"genezen, genezen"|"iyileşmek, tedavi etmek"|"NL"|"TR"
"شَقَقْ"|"ش ق ق"|"شَقَقْ"|"ش ق ق"|"I"|"2"|"to make difficult, to cleave"|"moeilijk maken, klieven"|"zorlaştırmak, yarmak"|"NL"|"TR"
"شَآقُّ"|"ش ق ق"|"شَآقُّ"|"ش ق ق"|"III"|"7"|"to oppose"|"zich te verzetten tegen"|"karşı çıkmak"|"NL"|"TR"
"يَشَّقَّقُ"|"ش ق ق"|"يَشَّقَّقُ"|"ش ق ق"|"V"|"3"|"to split"|"splitsen"|"bölmek"|"NL"|"TR"
"ٱنشَقَّ"|"ش ق ق"|"ٱنشَقَّ"|"ش ق ق"|"VII"|"5"|"to split"|"splitsen"|"bölmek"|"NL"|"TR"
"شَقُ"|"ش ق و"|"شَقُ"|"ش ق و"|"I"|"4"|"to suffer, to be wretched, to be distressed"|"lijden, ellendig zijn, bedroefd zijn"|"acı çekmek, kötü olmak, sıkıntılı olmak"|"NL"|"TR"
"شَكَرَ"|"ش ك ر"|"شَكَرَ"|"ش ك ر"|"I"|"46"|"to be grateful, to give thanks"|"dankbaar zijn, danken"|"minnettar olmak, şükretmek"|"NL"|"TR"
"أَشْكُوا۟"|"ش ك و"|"أَشْكُوا۟"|"ش ك و"|"I"|"1"|"to complain"|"klagen"|"şikayet etmek"|"NL"|"TR"
"تَشْتَكِىٓ"|"ش ك و"|"تَشْتَكِىٓ"|"ش ك و"|"VIII"|"1"|"to complain"|"klagen"|"şikayet etmek"|"NL"|"TR"
"تُشْمِتْ"|"ش م ت"|"تُشْمِتْ"|"ش م ت"|"IV"|"1"|"to rejoice"|"verheugen"|"sevinmek"|"NL"|"TR"
"ٱشْمَأَزَّتْ"|"ش م ز"|"ٱشْمَأَزَّتْ"|"ش م ز"|"VIII"|"1"|"to shrink with aversion"|"krimpen met afkeer"|""|"NL"|"TR"
"ٱشْتَمَلَتْ"|"ش م ل"|"ٱشْتَمَلَتْ"|"ش م ل"|"VIII"|"2"|"to contain"|"bevatten"|"içermek"|"NL"|"TR"
"شَهِدَ"|"ش ه د"|"شَهِدَ"|"ش ه د"|"I"|"44"|"to testify, to bear witness"|"getuigen, getuigen"|"tanıklık etmek, şahitlik etmek"|"NL"|"TR"
"أَشْهَدَ"|"ش ه د"|"أَشْهَدَ"|"ش ه د"|"IV"|"7"|"to make witness"|"getuige maken"|"şahit yapmak"|"NL"|"TR"
"ٱسْتَشْهِدُ"|"ش ه د"|"ٱسْتَشْهِدُ"|"ش ه د"|"X"|"2"|"to call to witness"|"roepen om te getuigen"|"tanıklığa çağırmak"|"NL"|"TR"
"ٱشْتَهَتْ"|"ش ه و"|"ٱشْتَهَتْ"|"ش ه و"|"VIII"|"8"|"to desire"|"verlangen"|"arzu etmek"|"NL"|"TR"
"شَاوِرْ"|"ش و ر"|"شَاوِرْ"|"ش و ر"|"III"|"1"|"to consult"|"raadplegen"|"danışmak"|"NL"|"TR"
"أَشَارَتْ"|"ش و ر"|"أَشَارَتْ"|"ش و ر"|"IV"|"1"|"to point"|""|""|"NL"|"TR"
"يَشْوِى"|"ش و ي"|"يَشْوِى"|"ش و ي"|"I"|"1"|"to scald"|"verbranden"|"haşlanmak"|"NL"|"TR"
"شَآءَ"|"ش ي ا"|"شَآءَ"|"ش ي ا"|"I"|"236"|"to will, to wish"|"wensen, wensen"|"dilemek, dilemek"|"NL"|"TR"
"تَشِيعَ"|"ش ي ع"|"تَشِيعَ"|"ش ي ع"|"I"|"1"|"to spread"|"spreiden"|"yaymak"|"NL"|"TR"
"صَبَّ"|"ص ب ب"|"صَبَّ"|"ص ب ب"|"I"|"4"|"to pour"|"gieten"|"dökmek"|"NL"|"TR"
